time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.3138402811052123e-08,-7.851209567482139e-08,10.003258184010148,6.283048719617678,6.28279158612856,0.0,1.4592505533737271e-05,-9.215863074538425e-06,0.1086012283736219,-0.0072701794805717715,-0.024819912581336298,0.0,440.53887719272916,438.4822439790694,440.03028065146606,439.42818316987143
0.12000000000000001,1.3381463617466835e-05,-4.761487566404869e-06,10.01130218998052,6.282664899591218,6.2816236396391325,0.0,0.0005561378528811556,-0.00018567632860395488,0.15952596462472107,-0.00470540559634786,-0.010473518072332155,0.0,420.3405024708213,421.5816928660784,421.0481325624747,421.2700259787069
0.18,8.271765322349332e-05,-2.8260395407219544e-05,10.024988890272411,6.282499319715692,6.281447462426341,0.0,0.0017948859562150052,-0.0006214050354030141,0.296670916258971,0.0008727680458883386,0.008983927924308473,0.0,447.82578075069904,449.40546352849526,448.3012719322611,448.75427408851345
0.23999999999999996,0.00022834868496248933,-8.121869108891391e-05,10.048277622234666,6.282527064552843,6.281958140915272,0.0,0.0029993802227140784,-0.001139238740074302,0.4795607543362392,-0.0003712664418736042,0.007548889228960794,0.0,462.64739990961544,462.53429416085083,462.6007704135683,462.50280637634813
0.3,0.00043321324661627113,-0.0001640072357238174,10.081096574350196,6.282418405177708,6.282251945361965,0.0,0.003788699204170304,-0.0016271726029452476,0.6143410190888319,-0.004858453773293151,-0.0010196849381319266,0.0,448.8835735397257,448.18772438987895,447.76884220484214,447.4037472676543
0.36000000000000004,0.0006839878025153076,-0.00028211185816158746,10.12536862171461,6.28222480224953,6.282384421860243,0.0,0.004565062227958981,-0.002339312419671597,0.8612406045803708,-0.00014793215044077326,0.007987577954686749,0.0,481.674255544308,482.35481548094873,481.1711708272442,481.52765807020614
0.4200000000000001,0.000971185716727439,-0.0004407270965295129,10.178280401909975,6.282060291422203,6.282389639090866,0.0,0.004977358226537108,-0.0029553757896461103,0.9024535201502524,-0.008513167424913051,-0.024522797982078216,0.0,420.1361434713276,417.3082761792943,418.8428032047593,418.1147907409951
0.48000000000000015,0.0012910142166748333,-0.0006422132634633129,10.234535020160886,6.281454087852673,6.280775088463649,0.0,0.005833633077221753,-0.0038150612339882877,0.9726426946208655,-0.013490270651627983,-0.03216827431969223,0.0,428.51976077931226,427.8692302281866,428.37274319649055,427.94947561571036
0.5400000000000001,0.0017025316595625935,-0.0009127965423937427,10.297436794034608,6.280732870992296,6.278763189985366,0.0,0.008099083282655729,-0.005287833060763602,1.1239454793735644,-0.009231484814904559,-0.03640755657494629,0.0,453.7112750596107,453.3704043193384,453.9909913344801,454.3326563177634
0.6000000000000002,0.002293684749077352,-0.0012858205899929395,10.369004031703515,6.280033878942739,6.276515736205717,0.0,0.011843577782763074,-0.0072127726156590724,1.2614857786933167,-0.016987923182461576,-0.03964436327672634,0.0,449.6671800843528,449.4042765174315,450.6289328855992,450.0016920245238
0.6600000000000003,0.0031487759147533784,-0.001786609655177786,10.447401357981455,6.279019401163319,6.2744453253831125,0.0,0.01688079373054555,-0.009582087931475098,1.3516538261836026,-0.016748529767690156,-0.02582525312639346,0.0,434.54378142843944,435.6999760634303,435.61360925348714,435.6337004578531
0.7200000000000003,0.004319380879769245,-0.002437259001234529,10.528311778223324,6.278341360784472,6.272592821753184,0.0,0.02228390454521428,-0.012177318683302001,1.3453658952594432,-0.0021750407067630895,-0.0436073809305723,0.0,405.8330186352062,404.2334246389073,401.6110924274588,402.9307314210433
0.7800000000000004,0.005894470892774063,-0.003273829149159048,10.61315230669397,6.277778306658629,6.271685699895574,0.0,0.030376785455598295,-0.01573762652915523,1.4824817674509716,-0.03047783579824287,0.01410138244807269,0.0,447.51456098549266,452.1867438291428,451.93783444775704,449.65109264718797
0.8400000000000004,0.00793373190223347,-0.004327917984395174,10.703543681747808,6.275749581961616,6.272539798316142,0.0,0.03751764150922485,-0.01957924178248687,1.5305004877615669,-0.041489445262873306,0.014500816555312704,0.0,422.44840458684325,422.4827437081516,422.6338678303015,421.6832318455456
0.9000000000000005,0.010372045044332697,-0.005643738873168678,10.7955693329271,6.273004766815124,6.273172796262845,0.0,0.04369173468165666,-0.02451057257412716,1.5370111047249144,-0.05601760587811309,0.001166611643656802,0.0,408.83472931690324,407.64492858718677,409.53776763884724,408.24210587494076
0.9600000000000005,0.01321033996605212,-0.007348464595974817,10.89180796871967,6.269730500112287,6.272912763905001,0.0,0.05092284577165331,-0.03266639572298908,1.6707530970981537,-0.05182566082613806,-0.018587194583838815,0.0,450.5037469255993,448.90385646958487,449.7554977020347,450.0929014122994
1.0200000000000005,0.01649407054907567,-0.009614552843634848,10.996203974046246,6.266377744267199,6.271333892124318,0.0,0.05866875478227934,-0.04321302863739185,1.808898389567558,-0.06555307231832361,-0.049976449871199785,0.0,453.1188166077871,450.5882158938912,451.8726506850465,450.7626375787896
1.0800000000000005,0.020252132857085894,-0.012543182223616597,11.106257338647294,6.262885801633921,6.268307659640545,0.0,0.06688418698123239,-0.054755106528873644,1.8594553490366514,-0.04651648161350583,-0.05137468066584591,0.0,423.6939246244697,423.57195549787417,424.02188697430773,425.65137226436656
1.1400000000000006,0.024590819805997643,-0.016267007033239512,11.221239553723441,6.260305424120677,6.265121790403027,0.0,0.07806150943549274,-0.06964687424662432,1.9730836583985716,-0.03677811562361598,-0.056786817846375466,0.0,445.5064504106669,445.0618814275705,443.6015070390227,444.39936239111717
